Dataset,Risk_Type,Metric,Time_Quantile,Time_Value,Mean,Std,N_Folds,Raw_Values
framingham,1,AUC,q0.25,2780.75,0.7619882633367283,0.13304996959230725,5,0.8575903614342381;0.848862115116993;0.5;0.8053284566725883;0.798160383459822
framingham,1,AUC,q0.50,4902.0,0.7510778662127731,0.12631276344623918,5,0.8252722428096979;0.8330993878372752;0.5;0.7973374981332566;0.7996802022836358
framingham,1,AUC,q0.75,6757.75,0.7354699400079941,0.11805171292754425,5,0.8085514471649452;0.7972980356773384;0.5;0.7885006693408262;0.7829995478568611
framingham,1,TDCI,q0.25,2780.75,0.6640465188835408,0.08592501269039653,5,0.7170303374994799;0.7408884776970561;0.5;0.699955525587134;0.6623582536340343
framingham,1,TDCI,q0.50,4902.0,0.6572704512128311,0.08113924802243297,5,0.6990686717012704;0.7268717319545468;0.5;0.6966435580363107;0.6637682943720279
framingham,1,TDCI,q0.75,6757.75,0.6576230864285603,0.08095878558145381,5,0.7136463559580533;0.7135326251413464;0.5;0.6980509362147802;0.6628855148286216
framingham,1,BRIER,q0.25,2780.75,0.2352345678855074,0.3502285169301411,5,0.05976768889091341;0.05666333480455149;0.935672514619883;0.059387057689429784;0.06468224342275936
framingham,1,BRIER,q0.50,4902.0,0.26160556705455246,0.3078187434374495,5,0.11475501026727454;0.10266920922255332;0.8771929824561403;0.10672816534778017;0.1066824679790142
framingham,1,BRIER,q0.75,6757.75,0.2759210463936533,0.26910733761326994,5,0.15135628344609134;0.138883140922139;0.8140350877192982;0.1386745519821905;0.13665616789854723
framingham,2,AUC,q0.25,2780.75,0.7819775254747274,0.05496246079249033,5,0.8148491401405735;0.8391900936952912;0.8163905622355383;0.7498661311798667;0.6895917001223677
framingham,2,AUC,q0.50,4902.0,0.7668497826539526,0.03755236485773189,5,0.7676381200414628;0.7890773620725702;0.822750461297264;0.7399893692346549;0.7147936006238111
framingham,2,AUC,q0.75,6757.75,0.7644072434841791,0.037599491992642405,5,0.7763256415464689;0.788765682194227;0.8133749953046019;0.7340745094167186;0.7094953889588788
framingham,2,TDCI,q0.25,2780.75,0.7112149621573594,0.03624317833707119,5,0.7176406941419634;0.7712071345153413;0.7197545212313623;0.6784930347330818;0.6689794261650474
framingham,2,TDCI,q0.50,4902.0,0.7073286905160823,0.02526892896677957,5,0.7036666006150143;0.7489848976134139;0.7199266789355301;0.6836839214405535;0.6803813539758999
framingham,2,TDCI,q0.75,6757.75,0.7039371598881933,0.02037364857258069,5,0.7072118267015872;0.7375442619991824;0.7090862669084391;0.686489386159859;0.6793540576718984
framingham,2,BRIER,q0.25,2780.75,0.03839319769738006,0.0029342089251375436,5,0.04259789711236968;0.03790539219953447;0.035738276257742896;0.03490265422100598;0.04082176869624729
framingham,2,BRIER,q0.50,4902.0,0.07427280982844012,0.0042907721588063665,5,0.07680527145013924;0.07958749606696543;0.07459199812721012;0.07364998657378828;0.06672929692409753
framingham,2,BRIER,q0.75,6757.75,0.11286106301221199,0.006511168476474223,5,0.11360658958587656;0.11331808471180657;0.10136833670678694;0.12162452569894963;0.11438777835764022
