Dataset,Risk_Type,Metric,Time_Quantile,Time_Value,Mean,Std,N_Folds,Raw_Values
pbc,1,AUC,q0.25,2044.06,0.9882059283609154,0.012154014319728219,5,0.9999999974478241;0.9764531469745494;0.9710580528783082;0.9935184601395302;0.9999999843643653
pbc,1,AUC,q0.50,2924.08,0.9579763186749819,0.02785934341255065,5,0.958286808309671;0.9334683738141457;0.9230333860417093;0.9750930385375411;0.9999999866718423
pbc,1,AUC,q0.75,3770.1,0.9423044614943412,0.033691290076564705,5,0.9550656595754147;0.9080624294734773;0.8966603234623083;0.9772601333862855;0.9744737615742207
pbc,1,TDCI,q0.25,2044.06,0.8039600365910979,0.019244572360203275,5,0.8046411320585376;0.8328956917318865;0.8146365361006243;0.7771699503533542;0.7904568727110871
pbc,1,TDCI,q0.50,2924.08,0.7853090707090384,0.011301346598540063,5,0.792848264279492;0.7961691318869273;0.7882362590373295;0.7639724057815974;0.7853192925598459
pbc,1,TDCI,q0.75,3770.1,0.7731329575290651,0.006188303542187934,5,0.7813620629360822;0.7795782512689691;0.7689245707341623;0.7656935640608946;0.7701063386452172
pbc,1,BRIER,q0.25,2044.06,0.1313909418365965,0.023066131106128446,5,0.14690558007713778;0.09633181392789651;0.12534494000659935;0.16451344522025413;0.12385892995109475
pbc,1,BRIER,q0.50,2924.08,0.18354789803090465,0.041985085307826006,5,0.24806379111599797;0.13305041382333438;0.19037326844270885;0.2034379146350792;0.14281410213740284
pbc,1,BRIER,q0.75,3770.1,0.24229977820747867,0.073901863550661,5,0.35015200319248907;0.18397847133281786;0.30970237941590295;0.2049767562937936;0.16268928080238995
pbc,2,AUC,q0.25,2044.06,0.9516518612120978,0.04319395064211572,5,0.9828949912263847;0.9374229870011018;0.9618444948920721;0.9999999928303699;0.8760968401105604
pbc,2,AUC,q0.50,2924.08,0.9656560654366755,0.02347113119944477,5,0.9866231140244338;0.9692328526210439;0.9725833554443978;0.9795756558939139;0.9202653491995887
pbc,2,AUC,q0.75,3770.1,0.9723060554687857,0.017258889185738875,5,0.988915523208955;0.9744270589790429;0.9749642805340148;0.9836703663770338;0.9395530482448821
pbc,2,TDCI,q0.25,2044.06,0.6466255240662446,0.00878166437141249,5,0.6345484199234036;0.6554216752837153;0.6572068855205289;0.6395295809570472;0.6464210586465284
pbc,2,TDCI,q0.50,2924.08,0.634831584472154,0.014573474006479445,5,0.6131131183067925;0.6549050642087789;0.6243735268820098;0.6424130666044009;0.6393531463587883
pbc,2,TDCI,q0.75,3770.1,0.6131870588929863,0.01582439812959617,5,0.6059392845668512;0.6218803692666244;0.6223430986061139;0.6300664900755241;0.5857060519498183
pbc,2,BRIER,q0.25,2044.06,0.46873117898393934,0.223468787724606,5,0.6952210612925107;0.6507582489150661;0.3082266900340618;0.5779021251599508;0.11154776951810724
pbc,2,BRIER,q0.50,2924.08,0.5144192086852677,0.21667372922681358,5,0.7414378958203445;0.6889933801978552;0.3768854291042515;0.6048135436268185;0.15996579467706884
pbc,2,BRIER,q0.75,3770.1,0.5366239006741986,0.2172744758584249,5,0.7417833870347189;0.7403123043020073;0.4008965039875137;0.6199980539470784;0.18012925409967523
