Dataset,Risk_Type,Metric,Time_Quantile,Time_Value,Mean,Std,N_Folds,Raw_Values
framingham,1,AUC,q0.25,2780.75,0.8427575302740715,0.021320841978107786,5,0.8603212851287538;0.8178937974023059;0.8568455640642345;0.8630773092276545;0.8156496955474085
framingham,1,AUC,q0.50,4902.0,0.8315796847845132,0.02763100625837216,5,0.8403421377743825;0.8081257067054116;0.8187511952511733;0.8817213297581973;0.8089580544334007
framingham,1,AUC,q0.75,6757.75,0.8106168198523912,0.04002024043291124,5,0.8180653649048979;0.7713711990796369;0.7887272359843643;0.8848527443081052;0.7900675549849515
framingham,1,TDCI,q0.25,2780.75,0.7076236230354798,0.022428339143229885,5,0.7113845385565065;0.7338510305916612;0.7144821134984977;0.712515960575585;0.6658844719551485
framingham,1,TDCI,q0.50,4902.0,0.7004698877540259,0.020868242874602597,5,0.7082425123112941;0.7178964741623579;0.7206642713171502;0.6914700948591957;0.6640760861201311
framingham,1,TDCI,q0.75,6757.75,0.6908892968064935,0.023077895413242535,5,0.7169017491822074;0.7061003254285517;0.7052955459680277;0.6629166985975937;0.6632321648560869
framingham,1,BRIER,q0.25,2780.75,0.2485198716182123,0.2945001050993542,5,0.05305463295145226;0.04797546108192833;0.17766431909839556;0.8292454120713526;0.1346595328879327
framingham,1,BRIER,q0.50,4902.0,0.3203613646266709,0.27266005665824444,5,0.10299852221884663;0.09951593041408438;0.3106075350315478;0.8403728721795266;0.24831196328934932
framingham,1,BRIER,q0.75,6757.75,0.3532551919785082,0.24743059166978232,5,0.13628368051284934;0.1334401909003831;0.37276848384409417;0.8101607875701096;0.3136228170651047
framingham,2,AUC,q0.25,2780.75,0.7932336182220177,0.04964337625744591,5,0.8162908042321729;0.8352855867784226;0.7981927710728389;0.8196117804436422;0.6967871485830112
framingham,2,AUC,q0.50,4902.0,0.7791005161520721,0.026654680809014102,5,0.7788993813025716;0.7860653138802423;0.8094540323391128;0.7913123080493779;0.7297715451890562
framingham,2,AUC,q0.75,6757.75,0.7708056576235014,0.0281466128240841,5,0.7885269893103595;0.7785478195933261;0.802049318766842;0.7648480099231587;0.7200561505238207
framingham,2,TDCI,q0.25,2780.75,0.7144765014681254,0.028705596175228748,5,0.7131531856455215;0.7588916020809003;0.7305544532002948;0.693155244394072;0.6766280220198382
framingham,2,TDCI,q0.50,4902.0,0.713120346816559,0.017491108215684677,5,0.7129211710224062;0.7355986913212398;0.7281789501358339;0.7015423897391744;0.6873605318641407
framingham,2,TDCI,q0.75,6757.75,0.7071220432780827,0.013676096695253648,5,0.7169227856489224;0.7211082620628879;0.7145417786948457;0.6986435742202468;0.68439381576351
framingham,2,BRIER,q0.25,2780.75,0.040560706548870146,0.003653873054400833,5,0.045604169452982686;0.03969171767490082;0.0415327795262641;0.03435605019304877;0.04161881589715436
framingham,2,BRIER,q0.50,4902.0,0.079357094063532,0.006390242957246779,5,0.08651567988482765;0.07919884534227926;0.08586575475081111;0.07570875494469817;0.06949643539504381
framingham,2,BRIER,q0.75,6757.75,0.12666283037221998,0.00984195451153675,5,0.13792319176831072;0.11038323775931193;0.129145780508303;0.1343776005120155;0.12148434131315877
