Dataset,Risk_Type,Metric,Time_Quantile,Time_Value,Mean,Std,N_Folds,Raw_Values
support,1,AUC,q0.25,27.0,0.8550513123224555,0.06525378918475963,5,0.7875000547284262;0.9302325478835652;0.9275252545226998;0.7788461841847736;0.8511525202928126
support,1,AUC,q0.50,230.0,0.8022126373925274,0.09189803082729213,5,0.695473317702275;0.9137930935593457;0.8827981248981845;0.6953125473847868;0.8236861034180448
support,1,AUC,q0.75,754.0,0.7975882112942747,0.09989254611528849,5,0.657763993297124;0.9098223216084197;0.8926352267454126;0.7071317042025372;0.8205878106178801
support,1,TDCI,q0.25,27.0,0.6650083835234887,0.036208673429441625,5,0.7113948814958774;0.6628714156398416;0.6924323859543775;0.6523927583905746;0.6059504761367721
support,1,TDCI,q0.50,230.0,0.6243024358721525,0.029151690692196707,5,0.6635943672120719;0.6309200753760146;0.6443223724957596;0.5979448180604762;0.58473054621644
support,1,TDCI,q0.75,754.0,0.6166115736619899,0.027688865981657488,5,0.6542030728628897;0.621472495130123;0.6370235946116745;0.5865931275506272;0.5837655781546348
support,1,BRIER,q0.25,27.0,0.27719229099631293,0.26763775086825514,5,0.1334511204631568;0.2144354807824587;0.04007323474293464;0.7981048068934299;0.19989681209958451
support,1,BRIER,q0.50,230.0,0.3803118465611866,0.24239014127395342,5,0.24733831646730203;0.3941592864398298;0.09649595075287164;0.8206955923441734;0.34287008680175607
support,1,BRIER,q0.75,754.0,0.3930492161012856,0.2268313466234145,5,0.2751721526408236;0.42017226727264967;0.10724554638089369;0.7935190742276667;0.36913703998439445
support,2,AUC,q0.25,27.0,0.8721431153081912,0.1879158250344131,5,0.9892183119956216;0.5000000498138535;0.9487866043669788;0.9972222088508294;0.9254884015136734
support,2,AUC,q0.50,230.0,0.8383927382595451,0.17857326110102925,5,0.9728915393011416;0.500000015750691;0.8821873736935353;0.9962518440224394;0.840632918529918
support,2,AUC,q0.75,754.0,0.8132505083176678,0.1745022408964666,5,0.9594112189097582;0.5000000075142039;0.8319974533719614;0.990891933823431;0.7839519279689847
support,2,TDCI,q0.25,27.0,0.8038871693490401,0.10957989754563847,5,0.8643642406191424;0.5854846107390584;0.8675008563200649;0.8413591405964935;0.8607269984704414
support,2,TDCI,q0.50,230.0,0.7128361157803165,0.0965554557756522,5,0.7726273901372656;0.5208413361272358;0.7665629010124235;0.7417807143623985;0.7623682372622586
support,2,TDCI,q0.75,754.0,0.680247696580998,0.08739519499299335,5,0.7359971666474112;0.5063805572735058;0.72453712898492;0.7080800504200307;0.7262435795791226
support,2,BRIER,q0.25,27.0,0.28742926384840933,0.26631282650060184,5,0.3525083782415878;0.7829696955004781;0.10524409500975238;0.09510783693762626;0.10131631355260198
support,2,BRIER,q0.50,230.0,0.30783545596714534,0.18750139986233308,5,0.39024596954154056;0.6413739342101602;0.1761665686705166;0.1653947874185471;0.16599601999496247
support,2,BRIER,q0.75,754.0,0.3077040173447076,0.12919605995060993,5,0.368517739571627;0.5350960795246354;0.22707608770591928;0.20197797259422529;0.20585220732713108
