Dataset,Risk_Type,Metric,Time_Quantile,Time_Value,Mean,Std,N_Folds,Raw_Values
synthetic,1,AUC,q0.25,2.0,0.6553628188431694,0.018545944667837436,5,0.6585330795896327;0.6598359397913133;0.6531764735935581;0.6237376639222281;0.6815309373191147
synthetic,1,AUC,q0.50,7.0,0.6597695728840389,0.04067616071938025,5,0.6573120807236569;0.7280670449409957;0.6387197191056309;0.6045416584842471;0.6702073611656645
synthetic,1,AUC,q0.75,21.0,0.6700787683330657,0.0808185497530995,5,0.6508936728095069;0.8240483757631205;0.6157704948633498;0.5952293722324972;0.6644519259968544
synthetic,1,TDCI,q0.25,2.0,0.551163968640427,0.010825770182536382,5,0.541102387375976;0.5684007064247468;0.5558910041409578;0.5383401002212787;0.5520856450391759
synthetic,1,TDCI,q0.50,7.0,0.5592520705737659,0.0083240031318058,5,0.5549281585676995;0.5713054377508894;0.5615773826840594;0.5462714166498215;0.5621779572163599
synthetic,1,TDCI,q0.75,21.0,0.5546290600503022,0.0036669022466778705,5,0.5569958575111263;0.5576008489265804;0.5524823778061917;0.5483911671079571;0.5576750488996554
synthetic,1,BRIER,q0.25,2.0,0.2451076339800705,0.3362466288757418,5,0.060775429295207954;0.9153675337265932;0.0593454779858961;0.0594929897570964;0.13055673913555896
synthetic,1,BRIER,q0.50,7.0,0.30052002551609613,0.2867045606755485,5,0.11994702557089687;0.8589441557002029;0.1131682755918486;0.12369913048260044;0.2868415402349317
synthetic,1,BRIER,q0.75,21.0,0.34700837999965417,0.21904824034298942,5,0.18822411143178722;0.7475507770333989;0.18505059082860048;0.1956415568820903;0.41857486382239373
synthetic,2,AUC,q0.25,2.0,0.6758442545523453,0.025913316936136,5,0.6638743173086455;0.7129253545610396;0.6719114732473551;0.6369753545923612;0.6935347730523254
synthetic,2,AUC,q0.50,7.0,0.6526196548552449,0.02174782896166846,5,0.6564887893233443;0.6827762495869405;0.6381954679686247;0.6200122781038059;0.6656254892935087
synthetic,2,AUC,q0.75,21.0,0.6431087574706837,0.0208710612299928,5,0.6468430943199889;0.6724270678919564;0.6284027209691156;0.6124886479684539;0.6553822562039041
synthetic,2,TDCI,q0.25,2.0,0.5693001292239952,0.014336179409348965,5,0.5798696521963262;0.5916858767829611;0.5539991031726774;0.563996933653666;0.5569490803143455
synthetic,2,TDCI,q0.50,7.0,0.5643151775306012,0.014050018795746912,5,0.5650065643681136;0.5860416560988353;0.5418376953001579;0.5621934435233817;0.5664965283625173
synthetic,2,TDCI,q0.75,21.0,0.560483940777534,0.014195992111784352,5,0.562147969980647;0.5845068580067693;0.5415371496936658;0.5523146092362253;0.5619131169703631
synthetic,2,BRIER,q0.25,2.0,0.22585369794129911,0.24599432005479704,5,0.06787757825207691;0.7162723663177405;0.11382879029338451;0.12699288688882743;0.10429686795446601
synthetic,2,BRIER,q0.50,7.0,0.35622553999182205,0.24526537435441703,5,0.15143887293782568;0.8376704971258867;0.2599232840065825;0.29352860287316856;0.2385664430156467
synthetic,2,BRIER,q0.75,21.0,0.4334636930780088,0.17175187665726724,5,0.2360110144074124;0.7517170654329697;0.3911156447807093;0.4285156460723068;0.35995909469664594
